ObjID	dusty_mass	dust_free_mass	star_light_mass	color(u-r)
587727177937584270	8.734	8.203	9.828	1.474
587727178448240841	8.109	7.261	9.989	0.694
587727178452828369	7.646	8.817	9.852	1.179
587727178452959306	7.881	8.231	9.632	1.122
587727178456039446	9.271	7.710	9.821	1.478
587727178462920898	7.372	7.926	8.676	1.051
587727178463379512	7.910	9.369	9.095	0.855
587727178464166093	7.044	7.399	10.219	0.879
587727178464755870	8.157	7.945	8.587	0.978
587727178465804367	7.211	7.077	9.920	0.876
587727178470129713	8.774	8.223	9.315	1.420
587727178984194285	8.018	7.213	8.800	2.243
587727178989699155	8.108	8.897	9.605	1.043
587727178989699440	7.942	8.107	9.736	1.026
587727179001102453	9.403	8.132	9.982	1.685
587727179003920399	9.714	7.967	9.868	2.229
587727179006738494	8.840	9.510	9.914	1.241
587727179524669520	8.281	9.682	9.434	1.448
587727179537252417	8.080	8.866	9.644	1.229
587727179540398356	7.947	8.371	9.215	1.250
587727179540660355	8.736	8.201	9.894	2.181
587727179544395888	9.464	7.970	9.653	1.639
587727180070584453	8.606	8.774	10.052	1.731
587727180080087118	8.595	9.605	9.873	1.714
587727180085133417	9.094	8.676	9.580	1.452
587727180606406745	7.985	8.607	10.025	1.545
587727180606931108	8.039	9.113	10.080	1.623
587727180610339062	8.103	8.061	9.763	1.815
587727180610797686	8.324	8.117	9.503	1.000
587727180610863182	8.658	8.143	9.726	1.830
587727180614402154	7.492	8.397	9.355	1.206
587727180618530952	7.792	8.731	10.000	1.021
587727180618530983	7.786	7.541	9.264	2.920
587727180618727563	7.914	7.917	9.918	1.600
587727180620562518	9.063	7.796	10.014	1.500
587727180620693736	8.039	7.993	9.987	1.830
587727212267766508	8.609	9.162	10.114	1.209
587727212809224459	8.186	8.119	9.608	1.498
587727214415774655	7.986	8.705	9.748	1.347
587727214952579623	8.552	8.257	9.734	1.471
587727220859666951	7.907	8.178	9.219	1.464
587727220866613843	7.954	8.724	9.911	0.891
587727220872118509	8.202	7.976	9.201	1.114
587727220872249529	8.973	8.038	9.946	1.599
587727221407089161	7.619	8.254	7.709	0.739
587727221409841362	7.916	9.079	8.868	1.385
587727221411021012	9.493	7.714	10.086	1.675
587727222469886674	7.618	8.009	8.827	1.445
587727222483779839	9.406	9.504	9.932	1.965
587727223017374149	8.078	7.679	10.069	0.984
587727223018357042	8.532	9.418	9.566	1.192
587727223020126633	8.766	8.128	9.949	1.210
587727223021109295	8.723	8.562	9.731	0.945
587727223550509189	9.395	8.804	9.930	2.223
587727223553589487	8.829	8.862	9.515	1.247
